Tag,1838.7.12,1839.10.10,1839.12.11,1841.11.26,1843.3.31,1844.4.28,1848.2.6,1848.5.22,1852.6.19,1852.12.23,1854.8.9,1854.12.24,1855.6.28,1856.3.19,1857.7.27,1858.3.30,1860.1.3,1861.6.14,1868.2.1,1868.4.11,1868.4.15,1871.1.7,1873.5.13,1873.7.4,1875.4.25,1878.7.12,1880.5.18,1880.7.13,1881.7.7,1883.4.29,1883.7.2,1886.3.21,1888.2.7,1890.6.7,1890.11.17,
ARC,782711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,2846401,2875553,2880330,2940483,2986539,3016810,2598981,2586654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRZ,1054750,952873,952367,969030,1089364,1095556,1114758,1115026,1172973,1180400,1228568,1237239,1250062,1267563,1293767,1309146,1354047,1391847,1425010,1427878,1428302,1588963,1727350,2573367,2720830,2986305,3144534,3159419,3248461,3414595,3434110,3704649,3882632,4166153,4231262,
CHI,26415,27625,27698,29316,30045,30405,31479,31978,304515,305622,311013,312210,314170,317270,322549,6169847,26351202,29613262,31523424,31474198,31469479,31892298,32779843,32823512,33224828,34017531,34598514,34647340,34983857,35585434,35622302,35946679,36585720,37573631,37776438,
COM,650011,682364,688205,727122,754290,788275,938229,949638,1069718,1087642,1107306,1108607,1113060,807381,844955,868493,935887,760629,686063,741383,741437,923331,1097224,1109827,1176360,1351599,1496153,1508467,1645682,1807233,1813526,1971233,2092057,2225011,2250293,
DNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316146,6335654,6336445,6995170,9399973,9417996,9413914,9799905,10064695,10092716,10271880,10622226,10660677,11390755,11859782,12482431,12594510,
ENG,4724958,4776718,4782795,4831102,4864918,4883031,5009540,5020769,5151332,5146053,5235174,5256847,5285718,5320075,5412547,5448994,5554491,5646594,6161549,6181150,6182660,6442947,6652760,6665339,6820531,7018858,7177835,7190995,7277463,7456375,7472819,7748194,7934279,8168786,8214385,
ETH,0,0,0,0,0,1769405,2367873,2368641,1061984,1064472,1075535,1077930,1081691,1086686,1095861,1100695,1113147,1123162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,8017276,7913312,7918961,7972539,8188208,8239428,7852726,7820178,8217537,8248430,8356095,8382747,8420089,8471517,8350507,8253776,7876237,7970003,8593922,8601631,8598898,8393416,8599337,8612635,8524287,7443873,7599385,7610681,8141319,8300183,9052933,9332965,9485572,9778847,9839343,
GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9280915,9553772,10562497,10586318,10585354,11070541,11658743,11693873,12029134,12535727,13018835,13052294,13031255,13193079,13214447,13901090,14405022,15077089,15214659,
GON,675741,1115323,1117356,1142528,1157235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,0,3042787,3049646,3114322,3115435,3161156,3164973,3177553,3192708,3216375,3230800,4269899,4325832,4576509,4585955,4586378,9855376,10116326,10131605,10325931,10680247,10893942,10912070,11315191,11554256,11571622,11936564,12194597,12450575,12511602,
INC,0,0,0,0,0,0,0,0,3821894,3828633,3867704,3877548,3891700,3915760,3976758,4005759,4077430,4147309,4509283,4517963,4517412,4672199,4813611,4822198,4933458,5139477,5238804,5247265,5300502,5401342,5412031,5594275,5729465,5883386,5922885,
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5279788,5207341,5290505,5702568,5711872,5712591,5727917,5891535,5903261,5750293,3481261,3528903,3533469,3564566,1189986,591965,0,0,0,0,
JAP,7207532,7265575,7272043,7378115,7468226,7541798,7822186,7843252,8160826,8198284,8328692,8358761,8400620,8459626,8577385,8638624,8793877,8931453,9730674,9712660,9710713,9549988,9849061,9867447,10056631,10947123,11241898,11267267,11426721,11674443,11656915,12142778,12536763,13044880,13144078,
KUK,0,0,0,0,0,0,0,0,4783606,4806606,4894176,4916373,4946130,4991472,5011764,4988003,5050196,5157839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LPL,0,789626,790340,841523,840859,867439,1000144,1010345,1723084,1730386,1798182,1814185,1837428,1872046,1939639,1969098,2045831,2111626,2444606,2455941,2456307,2687955,2881282,2893768,3018318,3279253,3494592,3508301,3589973,3730304,3734131,3925885,4111497,4254158,4297602,
MEX,1710566,1746106,1751440,1788093,1816059,1842243,1932348,1946924,2109747,2129453,2199718,2214765,2237170,2256263,2304708,2336102,2388760,2448158,2788798,2796204,2796314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NET,1768909,1795875,1799809,1850061,1889419,1920897,2034493,2042620,2171500,2186832,2238218,2249219,2260775,2281789,2321709,2346907,2397938,2462099,2700587,2708671,2708038,2798119,2884929,2858648,2941268,3096283,3200310,3209211,3264465,3368092,3355917,3418465,3527287,3670758,3698816,
NGF,0,0,0,0,5661179,5760331,5883985,5876652,6093041,6146088,6343539,6394712,6465221,7188331,7278636,7349369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PER,1310740,1301654,1297957,1377248,1388859,1398671,1431825,1434417,1471404,1475439,2641448,2646448,2654445,2665571,2685309,2695450,3439940,3817165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRU,3461090,3745807,3754550,4326489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUS,11846196,11957434,11970007,12129626,12307015,12460403,12959182,12962022,12992649,13052032,13279332,13334581,13400588,13493956,13664991,14312024,14588584,14821815,15850717,15837640,15835404,16205825,16676443,16696475,17049498,17715891,18120335,18154489,18014851,17424733,17464576,18134389,18721597,19510925,19668649,
SAR,1297765,829951,831339,843216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCA,1814660,1849881,1854398,1913453,1954724,1986868,2101602,2108118,2236081,2253937,2318845,2334131,2355918,2380595,2433345,2465023,2551754,2625313,2951004,2961335,2961768,3105215,3232189,3240147,3344200,3568248,3699832,3710750,3781357,3914155,3927092,4149197,4306236,4514847,4557714,
SIA,916248,2409370,2664497,2663576,2678101,2687569,2740975,2744690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SIC,1925748,1937544,1938600,1294241,1294554,1301631,1330482,1334146,2583327,3192878,3287027,3299068,3313809,3305958,3276232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPC,2974306,2987646,2988602,3011788,3024328,3038855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4245754,4253711,4254102,4369279,4824893,4982622,5061884,5203562,5240708,5249522,5303722,5393259,5401235,5524077,5617960,5737349,5759780,
TUR,3336182,4169328,4173970,4240953,4297690,4339909,4490677,4491138,4600884,4614100,4679418,4696833,4720241,4753471,6154788,6204008,6340750,6459031,7042874,7038311,7039082,7229552,7434497,7444861,7574870,7860082,8071766,8086321,8172393,8237879,8252101,8537909,8765505,9072191,9158082,
USA,3568943,3661510,3672994,3778383,3852759,3895201,4559760,4663390,5132167,5146898,5260133,5288572,5328474,5355844,5447822,5507497,5697133,4576563,7707372,7740917,7742447,8191886,8576536,8600993,8979752,9747717,10205763,10244995,10485176,10967815,11023581,11835992,12420860,13187143,13335349,
